Type,Size,Time
rand1,10000,420757333
rand2,10,4687
rand3,10,1116
best,100,3515
rand1,10,168270
best,1000,33799
worst,1000,10349656
rand1,100,540748
rand2,1000,2865446
worst,100,288557
best,10000,374403
rand3,10000,390431063
worst,10000,355376754
rand1,1000,22651682
worst,10,3640
rand2,100,33220
rand3,100,35609
rand2,10000,393214421
rand3,1000,3181406
best,10,6229
